"file" "checksum" "built" "date"
"CODE_OF_CONDUCT.md" "c93c83c630db2fe2462240bf72552548" "site/built/CODE_OF_CONDUCT.md" "2025-04-15"
"LICENSE.md" "16e8eaad880865bc4a41811b3e8fa945" "site/built/LICENSE.md" "2025-04-15"
"config.yaml" "4391e5f9c6062f735ce9856c43379dea" "site/built/config.yaml" "2025-04-15"
"index.md" "b92970dbb54d63d6543a4c28e4df0a58" "site/built/index.md" "2025-04-15"
"links.md" "8184cf4149eafbf03ce8da8ff0778c14" "site/built/links.md" "2025-04-15"
"episodes/01-introduction.md" "c9d4152827292039d98bda76eac83684" "site/built/01-introduction.md" "2025-04-15"
"episodes/02-dictionaries.md" "4d66dd7a84d0a6476fbd327812b7a0d4" "site/built/02-dictionaries.md" "2025-04-15"
"episodes/03-numpy_essential.md" "8be0e5afb556d4f597f31f059488dd15" "site/built/03-numpy_essential.md" "2025-04-15"
"episodes/04-software_package_management.md" "62db2ba2a4291e16d2bdd07b77bfc961" "site/built/04-software_package_management.md" "2025-04-15"
"episodes/05-defensive_programming.md" "357bca7361e09066ad71393e21ad0c74" "site/built/05-defensive_programming.md" "2025-04-15"
"episodes/06-units_and_quantities.md" "f02e82346d2f3b9675c133921f1f922f" "site/built/06-units_and_quantities.md" "2025-04-15"
"episodes/07-pandas_essential.md" "5dde09b1125f8c30156ae314b5fdcfe1" "site/built/07-pandas_essential.md" "2025-04-15"
"instructors/instructor-notes.md" "a59fd3b94c07c3fe3218c054a0f03277" "site/built/instructor-notes.md" "2025-04-15"
"learners/discuss.md" "2758e2e5abd231d82d25c6453d8abbc6" "site/built/discuss.md" "2025-04-15"
"learners/reference.md" "28853696c21dd22dfb883e9c241e95fb" "site/built/reference.md" "2025-04-15"
"learners/setup.md" "b49173664b6f5d6f31f11fb8bf67f620" "site/built/setup.md" "2025-04-15"
"profiles/learner-profiles.md" "60b93493cf1da06dfd63255d73854461" "site/built/learner-profiles.md" "2025-04-15"
"renv/profiles/lesson-requirements/renv.lock" "fe0d462bb117b7e64e745c3326c74e1c" "site/built/renv.lock" "2025-04-15"
